,Unnamed: 0,user,date,content,user_location,tweets,tweet_status
10,10,"{'username': 'ACELTICEYE', 'id': 1082385715571318784, 'displayname': 'A Celtic Eye', 'description': 'Celtic inspired jewelry, clothing, gifts and other cool collections from Scotland, Ireland, Wales, and the USA! We think tartan is the new black!', 'rawDescription': 'Celtic inspired jewelry, clothing, gifts and other cool collections from Scotland, Ireland, Wales, and the USA! We think tartan is the new black!', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2019, 1, 7, 21, 17, 19, tzinfo=datetime.timezone.utc), 'followersCount': 4, 'friendsCount': 13, 'statusesCount': 121, 'favouritesCount': 20, 'listedCount': 0, 'mediaCount': 1, 'location': 'USA', 'protected': False, 'linkUrl': 'https://acelticeye.com/', 'linkTcourl': 'https://t.co/EzGW6YbmAU', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1082387490936303616/V_8OGhle_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1082385715571318784/1546897468', 'label': None}",2019-01-07 23:28:42+00:00,Proudly presenting https://t.co/1pIZlWJOvC. Check it out and let me know what you think! none #GoDaddy #GoCentral via @GoDaddy,USA,Proudly presenting http Check it out and let me know what you think! none #GoDaddy #GoCentral via @user,"[('Negative', 0.000984594), ('Neutral', 0.04821896), ('Positive', 0.9507964)]"
11,11,"{'username': 'ItsikRomano', 'id': 57819532, 'displayname': 'itsik', 'description': 'An honest Creative Junkie, founder of Definite Image - Web Design & E-Commerce Company. Art. Music. Life.', 'rawDescription': 'An honest Creative Junkie, founder of Definite Image - Web Design & E-Commerce Company. Art. Music. Life.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2009, 7, 18, 1, 44, 38, tzinfo=datetime.timezone.utc), 'followersCount': 402, 'friendsCount': 1146, 'statusesCount': 9341, 'favouritesCount': 1298, 'listedCount': 58, 'mediaCount': 369, 'location': 'Montreal - Quebec - Canada', 'protected': False, 'linkUrl': 'http://www.definiteimage.com', 'linkTcourl': 'https://t.co/cSqGdzJDOu', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1431806873259364356/JPjbzEao_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/57819532/1623322564', 'label': None}",2019-01-07 23:26:54+00:00,Does @GoDaddy sell your contact info to spammers from India? Since I purchase a domain name I got tons of calls and each time from a different number. What the hell is going on here??? The first call happened literally five minutes after I purchased the domain btw.,Montreal - Quebec - Canada,Does @user sell your contact info to spammers from India? Since I purchase a domain name I got tons of calls and each time from a different number. What the hell is going on here??? The first call happened literally five minutes after I purchased the domain btw.,"[('Negative', 0.86439455), ('Neutral', 0.12594606), ('Positive', 0.009659315)]"
12,12,"{'username': 'usedquadcopters', 'id': 4882606491, 'displayname': 'Your Name Here', 'description': 'usedquadcopters.com c/w @usedquadcopters Twitter Handle!\nBuy Now dan.com', 'rawDescription': 'https://t.co/dwrdRgmBWN c/w @usedquadcopters Twitter Handle!\nBuy Now https://t.co/sTeir7Zbmh', 'descriptionUrls': [{'text': 'usedquadcopters.com', 'url': 'http://www.usedquadcopters.com', 'tcourl': 'https://t.co/dwrdRgmBWN', 'indices': (0, 23)}, {'text': 'dan.com', 'url': 'http://dan.com', 'tcourl': 'https://t.co/sTeir7Zbmh', 'indices': (69, 92)}], 'verified': False, 'created': datetime.datetime(2016, 2, 6, 19, 0, 22, tzinfo=datetime.timezone.utc), 'followersCount': 590, 'friendsCount': 1168, 'statusesCount': 903, 'favouritesCount': 412, 'listedCount': 11, 'mediaCount': 188, 'location': '', 'protected': False, 'linkUrl': 'http://usedquadcopters.com', 'linkTcourl': 'https://t.co/C1h03IVpA9', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/882338060284837888/WRKw1ssI_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/4882606491/1537384126', 'label': None}",2019-01-07 23:22:47+00:00,"https://t.co/OoOHJEZxtz 

#fpv #quadcopters #fpvracing
DOMAIN FOR SALE! BUY NOW!
@SEDO:
https://t.co/YdYvme94Ph 
or 
@GODADDY: 
https://t.co/OKc2maJjPx https://t.co/OU6gCMTmuu",,"http 

#fpv #quadcopters #fpvracing
DOMAIN FOR SALE! BUY NOW!
@SEDO:
https://t.co/YdYvme94Ph 
or 
@GODADDY: 
https://t.co/OKc2maJjPx http","[('Negative', 0.120698534), ('Neutral', 0.7454966), ('Positive', 0.13380496)]"
13,13,"{'username': 'GoDaddy', 'id': 14949454, 'displayname': 'GoDaddy', 'description': 'GoDaddy??s here to help you turn your ideas into reality and succeed online.', 'rawDescription': 'GoDaddy??s here to help you turn your ideas into reality and succeed online.', 'descriptionUrls': None, 'verified': True, 'created': datetime.datetime(2008, 5, 29, 23, 25, 49, tzinfo=datetime.timezone.utc), 'followersCount': 295404, 'friendsCount': 71867, 'statusesCount': 154722, 'favouritesCount': 26247, 'listedCount': 3844, 'mediaCount': 3629, 'location': '', 'protected': False, 'linkUrl': 'https://social.go.studio', 'linkTcourl': 'https://t.co/FvL4RCkqVT', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1458503273539850248/bszLIMcp_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/14949454/1664208826', 'label': None}",2019-01-07 23:22:43+00:00,Every step along the way is a step toward accomplishing your dream. #MotivationMonday https://t.co/hVLI0JL5Np,,Every step along the way is a step toward accomplishing your dream. #MotivationMonday http,"[('Negative', 0.0018792578), ('Neutral', 0.13064268), ('Positive', 0.86747795)]"
14,14,"{'username': 'mdscan1941', 'id': 2796130142, 'displayname': 'Alla Breve Academy', 'description': 'Music School in Maple, Ontario', 'rawDescription': 'Music School in Maple, Ontario', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2014, 9, 7, 15, 33, 45, tzinfo=datetime.timezone.utc), 'followersCount': 16, 'friendsCount': 67, 'statusesCount': 1839, 'favouritesCount': 3, 'listedCount': 0, 'mediaCount': 14, 'location': 'Vaughan, Ontario', 'protected': False, 'linkUrl': 'http://www.abma.ca', 'linkTcourl': 'https://t.co/aYngDqIHOY', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/776167012854861828/SVSLmedi_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2796130142/1468279082', 'label': None}",2019-01-07 23:17:44+00:00,Refer A Friend And Get A Free Lesson!  https://t.co/1wdfQ3c8Bb via @GoDaddy,"Vaughan, Ontario",Refer A Friend And Get A Free Lesson!  http via @user,"[('Negative', 0.0072863265), ('Neutral', 0.5389224), ('Positive', 0.4537912)]"
15,15,"{'username': 'RogerCh25625256', 'id': 885757267949137925, 'displayname': 'Roger Christensen', 'description': 'Off the Grid. Part time Scholar and amateur Philosopher MA. Globetrotter. 1.5% Neanderthal. Old guy with an iPhone. Follow if you like. ????', 'rawDescription': 'Off the Grid. Part time Scholar and amateur Philosopher MA. Globetrotter. 1.5% Neanderthal. Old guy with an iPhone. Follow if you like. ????', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2017, 7, 14, 7, 6, 4, tzinfo=datetime.timezone.utc), 'followersCount': 657, 'friendsCount': 1470, 'statusesCount': 18716, 'favouritesCount': 5595, 'listedCount': 1, 'mediaCount': 2517, 'location': 'Fern Forest, Hawaii', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1059240656541892609/xt9xqqiU_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/885757267949137925/1509346351', 'label': None}",2019-01-07 23:14:12+00:00,@GoDaddy @GoDaddyHelp @godaddyauctions Fuck all ya all! https://t.co/v6Q7nFMdni,"Fern Forest, Hawaii",@user @user @user Fuck all ya all! http,"[('Negative', 0.93712413), ('Neutral', 0.054183204), ('Positive', 0.00869265)]"
16,16,"{'username': 'wayneridgway', 'id': 42204415, 'displayname': 'wayne ridgway', 'description': 'Teacher, spiritual Musician singer songwriter', 'rawDescription': 'Teacher, spiritual Musician singer songwriter', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2009, 5, 24, 12, 25, 20, tzinfo=datetime.timezone.utc), 'followersCount': 230, 'friendsCount': 866, 'statusesCount': 1044, 'favouritesCount': 413, 'listedCount': 6, 'mediaCount': 210, 'location': 'leicestershire', 'protected': False, 'linkUrl': 'http://www.hinckleyguitarlessons.co.uk', 'linkTcourl': 'https://t.co/QsVgyHrxKT', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/228114531/wildernesswales_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/42204415/1398422328', 'label': None}",2019-01-07 23:13:30+00:00,Proudly presenting https://t.co/7mnaYgdR9J. Check it out and let me know what you think! #GoDaddy via @GoDaddy,leicestershire,Proudly presenting http Check it out and let me know what you think! #GoDaddy via @user,"[('Negative', 0.0009277723), ('Neutral', 0.04104843), ('Positive', 0.9580238)]"
17,17,"{'username': 'ward_annie', 'id': 430536419, 'displayname': 'Annie Ward', 'description': '#Impeach and Convict Trump, Pence, Barr and Pompeo #Democrat, #animalsupporter, #Save the USA and the World #Unite', 'rawDescription': '#Impeach and Convict Trump, Pence, Barr and Pompeo #Democrat, #animalsupporter, #Save the USA and the World #Unite', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2011, 12, 7, 8, 45, 46, tzinfo=datetime.timezone.utc), 'followersCount': 6009, 'friendsCount': 5986, 'statusesCount': 43791, 'favouritesCount': 40699, 'listedCount': 5, 'mediaCount': 302, 'location': 'California, USA', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1040132228443824128/q4Qr-XT4_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/430536419/1570999919', 'label': None}",2019-01-07 23:12:59+00:00,@dtcav @DesignationSix @GoDaddy Follow who Designation 6 says is a sponsor of Fox! Tweet everyday your disgust with supporting Donald and his lies about everything!! No revisionist history! No leaving Syria! No giving into the Russians! #Donaldresign!!,"California, USA",@user @user @user Follow who Designation 6 says is a sponsor of Fox! Tweet everyday your disgust with supporting Donald and his lies about everything!! No revisionist history! No leaving Syria! No giving into the Russians! #Donaldresign!!,"[('Negative', 0.81493723), ('Neutral', 0.16799812), ('Positive', 0.017064605)]"
18,18,"{'username': 'LeisureAgency', 'id': 1082391335812898816, 'displayname': 'Leisure Travel Agency', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2019, 1, 7, 21, 39, 39, tzinfo=datetime.timezone.utc), 'followersCount': 0, 'friendsCount': 8, 'statusesCount': 9, 'favouritesCount': 4, 'listedCount': 0, 'mediaCount': 4, 'location': '', 'protected': False, 'linkUrl': 'http://Leisuretravelagency.us', 'linkTcourl': 'https://t.co/EpZpRJK7wY', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1121154930528661504/wZNQhlk3_normal.png', 'profileBannerUrl': None, 'label': None}",2019-01-07 23:12:40+00:00,Proudly presenting https://t.co/sAVJNbLunu. Check it out and let me know what you think! #GoDaddy #GoCentral via @GoDaddy,,Proudly presenting http Check it out and let me know what you think! #GoDaddy #GoCentral via @user,"[('Negative', 0.0008577448), ('Neutral', 0.03791244), ('Positive', 0.96122986)]"
19,19,"{'username': 'iamsouthsided', 'id': 3194505362, 'displayname': 'D Got Da Drip', 'description': '???¨???¨ Music Producer ? Engineer ? Jackson, MS 601 #dripwazhere????', 'rawDescription': '???¨???¨ Music Producer ? Engineer ? Jackson, MS 601 #dripwazhere????', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2015, 5, 13, 16, 3, 48, tzinfo=datetime.timezone.utc), 'followersCount': 1562, 'friendsCount': 635, 'statusesCount': 15060, 'favouritesCount': 26644, 'listedCount': 31, 'mediaCount': 2153, 'location': 'United States', 'protected': False, 'linkUrl': 'https://music.apple.com/us/playlist/prod-by-d-got-da-drip/pl.u-Ymb0vVpTg0qDjG9', 'linkTcourl': 'https://t.co/EETp1GVCCE', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1566637345050329091/tPvgARTg_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/3194505362/1649556822', 'label': None}",2019-01-07 23:11:53+00:00,Thanks to @GoDaddy support team my website is back up and running ????,United States,Thanks to @user support team my website is back up and running ????,"[('Negative', 0.0013993776), ('Neutral', 0.022156425), ('Positive', 0.9764443)]"
20,20,"{'username': 'DarnGoodDomains', 'id': 88568945, 'displayname': 'DarnGoodDomains', 'description': 'Darn Good Domains For Sale . . . DarnGoodDomains.com\n#DomainNameForSale', 'rawDescription': 'Darn Good Domains For Sale . . . https://t.co/88jdSlbQYK\n#DomainNameForSale', 'descriptionUrls': [{'text': 'DarnGoodDomains.com', 'url': 'http://DarnGoodDomains.com', 'tcourl': 'https://t.co/88jdSlbQYK', 'indices': (33, 56)}], 'verified': False, 'created': datetime.datetime(2009, 11, 9, 2, 16, 26, tzinfo=datetime.timezone.utc), 'followersCount': 6931, 'friendsCount': 7329, 'statusesCount': 67470, 'favouritesCount': 3, 'listedCount': 43, 'mediaCount': 61786, 'location': 'San Diego, CA', 'protected': False, 'linkUrl': 'http://DarnGoodDomains.com', 'linkTcourl': 'https://t.co/88jdSlbQYK', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/751142228773310464/f345di6t_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/88568945/1617809073', 'label': None}",2019-01-07 23:08:15+00:00,https://t.co/6EFVVSVc6v . . . #DomainNameForSale . . . https://t.co/BSkGgzrmSD . . . Listed on GoDaddy . . . https://t.co/t4s3BKKsda https://t.co/JuXt58qCSH,"San Diego, CA",http . . . #DomainNameForSale . . . http . . . Listed on GoDaddy . . . http http,"[('Negative', 0.04769224), ('Neutral', 0.8448487), ('Positive', 0.107459076)]"
21,21,"{'username': 'RogerCh25625256', 'id': 885757267949137925, 'displayname': 'Roger Christensen', 'description': 'Off the Grid. Part time Scholar and amateur Philosopher MA. Globetrotter. 1.5% Neanderthal. Old guy with an iPhone. Follow if you like. ????', 'rawDescription': 'Off the Grid. Part time Scholar and amateur Philosopher MA. Globetrotter. 1.5% Neanderthal. Old guy with an iPhone. Follow if you like. ????', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2017, 7, 14, 7, 6, 4, tzinfo=datetime.timezone.utc), 'followersCount': 657, 'friendsCount': 1470, 'statusesCount': 18716, 'favouritesCount': 5595, 'listedCount': 1, 'mediaCount': 2517, 'location': 'Fern Forest, Hawaii', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1059240656541892609/xt9xqqiU_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/885757267949137925/1509346351', 'label': None}",2019-01-07 23:07:36+00:00,@hullboydan To Hell with Bob Parsons. Fuck this guy! @GoDaddy,"Fern Forest, Hawaii",@user To Hell with Bob Parsons. Fuck this guy! @user,"[('Negative', 0.9719833), ('Neutral', 0.023174869), ('Positive', 0.004841923)]"
